timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
7550,0.05,-1.08,0.52,-163.22,-7.32,38.43
7600,0,-1.14,0.27,-130.32,-3.13,25.02
7650,-0.02,-1.14,0.27,-38.47,6.55,6.05
7700,-0.04,-1.1,0.14,-41.21,3.38,2.88
7750,-0.02,-1.15,0.14,11.49,1.48,-3.88
7800,0.01,-1.14,0.14,79.79,-0.97,-13.07
7850,-0.02,-1.14,0.21,164.9,-9.17,-19.16
7900,0.04,-0.99,0.52,241.81,-15.79,-30.84
7950,0.03,-0.9,0.58,210.43,-11.37,-9.71
8000,0.05,-0.77,0.83,160.84,-11.69,-5.85
8050,0.06,-0.54,0.71,213.11,-6.87,-14.99
8100,0.1,-0.49,1.02,222.74,-5.64,-14.64
8150,0.12,-0.11,0.83,249.99,-12.19,-9.88
8200,0.11,-0.02,1.02,241.6,-9.53,-12.02
